"","id","activity_date","total_steps","total_distance","tracker_distance","logged_activities_distance","very_active_distance","moderately_active_distance","light_active_distance","sedentary_active_distance","very_active_minutes","fairly_active_minutes","lightly_active_minutes","sedentary_minutes","calories","total_minutes","total_minutes_asleep"
"1",1503960366,"3/25/2016",11004,7.110000134,7.110000134,0,2.569999933,0.460000008,4.070000172,0,33,12,205,804,1819,1054,424
"2",1503960366,"3/26/2016",17609,11.55000019,11.55000019,0,6.920000076,0.730000019,3.910000086,0,89,17,274,588,2154,968,511
"3",1503960366,"3/27/2016",12736,8.529999733,8.529999733,0,4.659999847,0.159999996,3.710000038,0,56,5,268,605,1944,934,533
"4",1503960366,"3/28/2016",13231,8.930000305,8.930000305,0,3.190000057,0.790000021,4.949999809,0,39,20,224,1080,1932,1363,81
"5",1503960366,"3/29/2016",12041,7.849999905,7.849999905,0,2.160000086,1.090000033,4.610000134,0,28,28,243,763,1886,1062,411
"6",1503960366,"3/31/2016",12256,7.860000134,7.860000134,0,2.289999962,0.49000001,5.039999962,0,33,12,239,820,1889,1104,365
"7",1503960366,"4/1/2016",12262,7.869999886,7.869999886,0,3.319999933,0.829999983,3.640000105,0,47,21,200,866,1868,1134,333
"8",1503960366,"4/2/2016",11248,7.25,7.25,0,3,0.449999988,3.74000001,0,40,11,244,636,1843,931,591
"9",1503960366,"4/3/2016",10016,6.369999886,6.369999886,0,0.910000026,1.279999971,4.179999828,0,15,30,314,655,1850,1014,480
"10",1503960366,"4/4/2016",14557,9.800000191,9.800000191,0,3.390000105,0.699999988,5.690000057,0,43,18,285,757,2030,1103,392
"11",1503960366,"4/5/2016",14844,9.729999542,9.729999542,0,2.940000057,0.75999999,6.039999962,0,36,18,341,736,2083,1131,343
"12",1503960366,"4/9/2016",12432,8.100000381,8.100000381,0,2.589999914,0.589999974,4.920000076,0,32,15,248,738,1883,1033,437
"13",1503960366,"4/10/2016",10057,6.980000019,6.980000019,0,4,0.49000001,2.480000019,0,44,13,168,737,1755,962,503
"14",1503960366,"4/11/2016",10990,7.260000229,7.260000229,0,2.039999962,0.569999993,4.650000095,0,26,14,216,855,1811,1111,351
"15",1844505072,"4/3/2016",2841,1.879999995,1.879999995,0,0,0,1.879999995,0,0,0,136,1114,1636,1250,232
"16",1844505072,"4/4/2016",0,0,0,0,0,0,0,0,0,0,0,669,1347,669,771
"17",1844505072,"4/9/2016",4979,3.289999962,3.289999962,0,0,0,3.289999962,0,0,0,184,620,1807,804,1160
"18",1844505072,"4/10/2016",6556,4.340000153,4.340000153,0,0,0,4.329999924,0,0,0,305,810,1971,1115,383
"19",1927972279,"4/1/2016",4317,2.99000001,2.99000001,0,0,0.370000005,2.619999886,0,0,11,192,854,2590,1057,397
"20",1927972279,"4/2/2016",5662,3.920000076,3.920000076,0,0,0,3.920000076,0,0,0,267,858,2783,1125,357
"21",1927972279,"4/3/2016",3198,2.210000038,2.210000038,0,0,0,2.210000038,0,0,0,146,1183,2449,1329,116
"22",1927972279,"4/4/2016",2352,1.629999995,1.629999995,0,0,0,1.629999995,0,0,0,128,829,2380,957,501
"23",1927972279,"4/5/2016",2234,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,108,912,2344,1020,451
"24",1927972279,"4/6/2016",1259,0.870000005,0.870000005,0,0,0,0.870000005,0,0,0,73,938,2202,1011,445
"25",1927972279,"4/9/2016",2523,1.75,1.75,0,0,0.370000005,1.379999995,0,0,9,134,1250,2443,1393,56
"26",1927972279,"4/10/2016",2105,1.460000038,1.460000038,0,0,0,1.460000038,0,0,0,139,805,2442,944,516
"27",1927972279,"4/11/2016",1209,0.839999974,0.839999974,0,0,0,0.839999974,0,0,0,73,842,2255,915,559
"28",1927972279,"4/12/2016",24,0.02,0.02,0,0,0,0.02,0,0,0,3,161,942,164,514
"29",2026352035,"4/1/2016",2605,1.620000005,1.620000005,0,0,0,1.620000005,0,0,0,166,729,1407,895,575
"30",2026352035,"4/2/2016",1229,0.75999999,0.75999999,0,0,0,0.75999999,0,0,0,69,795,1237,864,630
"31",2026352035,"4/3/2016",2308,1.429999948,1.429999948,0,0,0,1.429999948,0,0,0,115,720,1330,835,687
"32",2026352035,"4/4/2016",6679,4.139999866,4.139999866,0,0,0,4.139999866,0,0,0,263,644,1583,907,577
"33",2026352035,"4/5/2016",5645,3.5,3.5,0,0,0,3.5,0,0,0,248,621,1538,869,618
"34",2026352035,"4/6/2016",3180,1.970000029,1.970000029,0,0,0,1.970000029,0,0,0,185,738,1421,923,573
"35",2026352035,"4/7/2016",2767,1.720000029,1.720000029,0,0,0,1.720000029,0,0,0,170,673,1392,843,662
"36",2026352035,"4/8/2016",3762,2.329999924,2.329999924,0,0,0,2.329999924,0,0,0,173,719,1425,892,579
"37",2026352035,"4/9/2016",3098,1.919999957,1.919999957,0,0,0,1.919999957,0,0,0,185,700,1413,885,625
"38",2026352035,"4/10/2016",5142,3.190000057,3.190000057,0,0,0,3.190000057,0,0,0,230,654,1515,884,608
"39",2026352035,"4/11/2016",3279,2.029999971,2.029999971,0,0,0,2.029999971,0,0,0,164,694,1405,858,624
"40",2026352035,"4/12/2016",1019,0.629999995,0.629999995,0,0,0,0.629999995,0,0,0,64,223,600,287,367
"41",2347167796,"3/29/2016",10272,6.789999962,6.789999962,0,0.159999996,3.119999886,3.5,0,2,58,208,700,2041,968,527
"42",2347167796,"3/30/2016",10533,7.099999905,7.099999905,0,1.769999981,2.059999943,3.269999981,0,21,35,255,615,2187,926,563
